Subject,Age,CharacterCode,Item,ISI_Sequence,ISI,ISD,BoundaryCode,ReadingScore
301,23,IR2,IR2_4,4,159,106,1st UB,28
006,18,IT3,IT3_6,6,159,107.6150547,2nd UB,66
007,21,CT3,CT3_9,9,159,58.05170109,2nd UB,85
513,22,CB4,CB4_3,3,159,40.19950248,1st UB,46
512,35,CR2,CR2_4,4,159,114.5862121,1st UB,46
518,23,CL1,CL1_8,8,159,83.17763461,2nd UB,66
501,21,IR3,IR3_2,2,160,79.62411695,1st UB,45
408,22,CB3,CB3_4,4,160,150.9867544,1st UB,35
007,21,IT3,IT3_6,6,160,48.02082881,2nd UB,85
415,22,CB2,CB2_6,6,160,7.677981506,1st UB,44
518,23,CB2,CB2_6,6,160,57.61597869,1st UB,66
503,23,CT2,CT2_9,9,161,98.13734101,2nd UB,55
403,24,CT1,CT1_9,9,162,107.3545528,2nd UB,52
601,30,CB3,CB3_3,3,163,129.9576854,1st UB,39
301,23,IL3,IL3_8,8,163,28.09590718,2nd UB,28
007,21,CR3,CR3_3,3,163,45.61797891,1st UB,85
411,22,IT1,IT1_8,8,164,120.9874779,2nd UB,30
517,23,IT3,IT3_6,6,164,118.3384975,2nd UB,52
517,23,IR3,IR3_2,2,164,118.9621789,1st UB,52
601,30,IR2,IR2_4,4,165,219.317122,1st UB,39
301,23,IB4,IB4_3,3,165,42.70387804,1st UB,28
002,22,CR4,CR4_2,2,165,122.0901306,1st UB,26
405,38,CL3,CL3_5,5,166,98.89893832,2nd UB,71
405,38,IB4,IB4_3,3,166,132.8533026,1st UB,71
405,38,IR2,IR2_4,4,166,190.9057359,1st UB,71
405,38,CB3,CB3_3,3,166,143.7532608,1st UB,71
601,30,CB1,CB1_5,5,166,205.4117816,1st UB,39
601,30,IB2,IB2_6,6,166,182.428068,1st UB,39
404,19,CT3,CT3_8,8,166,60.20797289,2nd UB,38
603,23,IR3,IR3_2,2,166,219.665655,1st UB,82
605,28,CB3,CB3_3,3,166,121.8387085,1st UB,67
413,22,CB4,CB4_3,3,166,79.40403012,1st UB,47
517,23,IB1,IB1_5,5,166,39.66106403,1st UB,52
520,24,IB3,IB3_4,4,166,165.5838156,1st UB,65
405,38,CR1,CR1_5,5,167,111.0180166,1st UB,71
405,38,IR1,IR1_5,5,167,140.0071427,1st UB,71
405,38,CR2,CR2_4,4,167,131.2440475,1st UB,71
405,38,IL4,IL4_9,9,167,127.0157471,2nd UB,71
601,30,IL4,IL4_9,9,167,151.4892735,2nd UB,39
404,19,IL2,IL2_11,11,167,63.90618123,2nd UB,38
504,22,CL3,CL3_5,5,167,130.0807442,2nd UB,59
513,22,CR3,CR3_3,3,167,72.42237223,1st UB,46
517,23,CB2,CB2_6,6,167,60.5309838,1st UB,52
517,23,CB1,CB1_5,5,167,88.6171541,1st UB,52
520,24,IB4,IB4_3,3,167,143.0314651,1st UB,65
